"['Treat Her Like A Lady', 'Joe']"
"['Promise Me', 'Lil Suzy']"
"['One Of Those Days', 'Whitney Houston']"
"['Black Or White', 'Michael Jackson']"
"['Weston Road Flows', 'Drake']"
"['Hey Stephen', 'Taylor Swift']"
"['Dirt', 'Florida Georgia Line']"
"['Soundtrack To Your Life', 'Ashley Parker Angel']"
"['Everlasting Love', 'Tony Terry']"
"['All Of The Lights', 'Kanye West']"
"['I Who Have Nothing', 'Jordin Sparks']"
"['Braid My Hair', 'Mario']"
"['Burning House', 'Cam']"
"['Broken Halos', 'Chris Stapleton']"
"['Romeo', 'Dino']"
"['I Got You', 'Thompson Square']"
"['Up All Night', 'Blink-182']"
"['Reflektor', 'Arcade Fire']"
"['You Think You Know Her', 'Cause And Effect']"
"['Jungle', 'Jamie N Commons & X Ambassadors']"
"['Gangsta\'s Paradise (From ""Dangerous Minds"")', 'Coolio Featuring L.V.']"
"['Fix', 'Chris Lane']"
"['Let It Snow, Let It Snow, Let It Snow', 'Dean Martin']"
"['Trying To Find Atlantis', ""Jamie O'Neal""]"
"[""I'll Give All My Love To You"", 'Keith Sweat']"
"['So Much In Love', 'All-4-One']"
"['Trophies', 'Young Money Featuring Drake']"
"['Somebody To Love', 'George Michael & Queen']"
"['Deadbeat Club', 'The B-52s']"
"[""Love Don't Run"", 'Steve Holy']"
"['This Is War', 'Thirty Seconds To Mars']"
"['Absolutely (Story Of A Girl)', 'Nine Days']"
"['You Da One', 'Rihanna']"
"['What The World Needs Now Is Love', 'Dionne Warwick And The Hip-Hop Nation United']"
"['Indo Smoke (From ""Poetic Justice"")', 'Mista Grimm']"
"[""(There's No Place Like) Home For The Holidays"", 'Perry Como']"
"[""I've Got You"", 'Marc Anthony']"
"['All The Way Up', 'Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared']"
"['Try', 'Colbie Caillat']"
"['Waiting For That Day', 'George Michael']"
"[""He Can't Love U"", 'Jagged Edge']"
"['I Wanna', 'The All-American Rejects']"
"['Pick It Up', 'Famous Dex Featuring A$AP Rocky']"
"['Knuck If You Buck', 'Crime Mob Featuring Lil Scrappy']"
"['Check Yes Juliet (Run Baby Run)', 'WE the Kings']"
"['Raining On Sunday', 'Keith Urban']"
"[""I'll Be"", 'Reba McEntire']"
"['Plain Jane', 'A$AP Ferg']"
"['Love Like Crazy', 'Lee Brice']"
"['When I Was Your Man', 'Bruno Mars']"
"['Back Up', 'DeJ Loaf Featuring Big Sean']"
"[""Live While We're Young"", 'One Direction']"
"['Party', 'Chris Brown Featuring Usher & Gucci Mane']"
"['Bend Ova', 'Lil Jon Featuring Tyga']"
"['1-Luv', 'E-40 (Featuring Leviti)']"
"['If We Fall In Love Tonight', 'Rod Stewart']"
"['Intro', 'J. Cole']"
"[""Baby It's You"", 'JoJo Featuring Bow Wow']"
"['Put Your Records On', 'Corinne Bailey Rae']"
"['Holy Key', 'DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright']"
"['Crazy Girl', 'Eli Young Band']"
"['First Dance', 'Justin Bieber Featuring Usher']"
"['I Can Love You Better', 'Dixie Chicks']"
"['Kingdom Come', 'JAY-Z']"
"['If I Ever Lose My Faith In You', 'Sting']"
"['Supernatural Superserious', 'R.E.M.']"
"['I Like Me Better', 'Lauv']"
"['Championships', 'Meek Mill']"
"[""Moves Like Jagger / Jumpin' Jack Flash"", 'Glee Cast']"
"['People Like Us', 'Kelly Clarkson']"
"['Around The Way Girl', 'LL Cool J']"
"['Someone To Hold', 'Trey Lorenz']"
"['New Day', '50 Cent Featuring Dr. Dre & Alicia Keys']"
"['El Bano', 'Enrique Iglesias Featuring Bad Bunny']"
"['Eraser', 'Ed Sheeran']"
"['Oye Mi Canto (Hear My Voice)', 'Gloria Estefan']"
"['Come To My Window', 'Melissa Etheridge']"
"['Love The Way', 'EOL']"
"['No More Drama', 'Mary J. Blige']"
"['Ms. Jackson', 'OutKast']"
"['Heaven Sent', 'Keyshia Cole']"
"['Praying For Time', 'George Michael']"
"['Roman Reloaded', 'Nicki Minaj Featuring Lil Wayne']"
"['Walk A Little Straighter', 'Billy Currington']"
"['Boyfriend', 'Justin Bieber']"
"['Do You Like This', 'Rome']"
"['Gotti', '6ix9ine']"
"['Still Into You', 'Paramore']"
"['Girl Like You', 'Jason Aldean']"
"['Major Minus', 'Coldplay']"
"['Move Any Mountain', 'The Shamen']"
"['People Are Still Having Sex', 'LaTour']"
"['I Can Go Deep (From ""A Low Down Dirty Shame"")', 'Silk']"
"['Feel The Music', 'Planet Soul Featuring Brenda Dee']"
"['Something That We Do', 'Clint Black']"
"['Fill Me In', 'Craig David']"
"['Headlines (Friendship Never Ends)', 'Spice Girls']"
"['One Last Breath', 'Creed']"
"[""That's Just Jessie"", 'Kevin Denney']"
"['Wait (The Whisper Song)', 'Ying Yang Twins']"
"['Hail To The King', 'Avenged Sevenfold']"
