"['Indian Summer', 'Jónsi', 'spotify:track:38n9cqj5lZ2xMF6IHq9TDg']"
"['To the Green Town', 'Water Fai', 'spotify:track:1ZvJ8SMfQBWE78E0Vzj8dE']"
"['Fireflies', 'Lights & Motion', 'spotify:track:6WFNlrkPvno4BrwjJ7pyy0']"
"['Bleepers', 'Dj Spinna', 'spotify:track:4x0PSmIKrYJ3MDXD8tvGET']"
"['Mamacita', 'DeStorm Power', 'spotify:track:0nmk8SMOAoeOKU3lDsGTQx']"
"['Hold That Pose', 'DeStorm Power', 'spotify:track:6GWxqu8SKN2iy2Vz8jzNrM']"
"['Cannibalistic Postclimax Flesh Consumption', 'Putridity', 'spotify:track:4QI6fHxTBSTDPss3YfAswW']"
"['Free Will Sacrifice', 'Amon Amarth', 'spotify:track:0FLN9WgDBztKtKNv0oeprJ']"
"['Laid to Rest', 'Lamb of God', 'spotify:track:0lCwaZYSRy6q0jLmnYiQxi']"
"['The Rains of Castamere', 'Ramin Djawadi', 'spotify:track:22QlahCajS3dAN9y8v7ssX']"
"['YOUTH', 'Troye Sivan', 'spotify:track:0nhBKubnVz9yFNNprBniWz']"
"['To Believe In Something', 'The Cast Before The Break', 'spotify:track:3Tmn5XErKw6mXbdUdvjuYM']"
"['Again We Rise', 'Lamb of God', 'spotify:track:6mKoFffXxSVfWvewIAM180']"
"['Snake Plant', 'jobii', 'spotify:track:4c62KxdplU5lFoc90cieVl']"
"['Soul Meets Body', 'Death Cab for Cutie', 'spotify:track:5yc59J3MR3tVDPTOgwgRI5']"
"[""When It's Cold Outside"", '228k', 'spotify:track:4fItvUtgNQIEzapdap8htb']"


"['Watchers', 'Mayhem', 'spotify:track:09WTaYjud5bJgKFGWEPlmn']"
"['Lovelight', 'Daturah', 'spotify:track:59Xys6Xl4lPM0w8ZbmZWSa']"
"['I Can Wait', 'Deep Blue Something', 'spotify:track:3G1jhQZfX2NkZcSPQi2MLe']"
"['Where Have You Gone', 'Christoffer Franzen', 'spotify:track:2cTHks1h9zqa4f0kjuZL5w']"
"['Neon Noir', 'Kodiak Soul', 'spotify:track:0moQ49B6fYw2DRRe3BzHGU']"
"['Be A Bright Blue', 'Saxon Shore', 'spotify:track:2bg9cjuFFrAG6rJI7JD0yI']"
"['Divide, Conquer, Burn, And Destroy', 'Serpentine Dominion', 'spotify:track:0ddi4FSAsZsVqYKCEhrW6s']"
"['Encased In Concrete', 'Cannibal Corpse', 'spotify:track:4yI7b8n6h54bp7UQ1z8UBT']"
"['26', 'Paramore', 'spotify:track:2EcQY09CYgJ1qk6H1qZf8h']"
"['Baptised, Bastardised, Sodomised.', 'Infant Annihilator', 'spotify:track:2nRZanRtKsZk20bGoqpvHf']"
"['King Kong', 'DeStorm Power', 'spotify:track:2ZPwksPdZwvpgkxuxcBdYu']"
"[""Jasmine's Fuji"", 'June Jissle', 'spotify:track:17gGSEIql8L3FwhqlmkZ1I']"
"['Vanquished Unto Thee', 'Serpentine Dominion', 'spotify:track:45gDXrZZ86ANWcDPpXgaVp']"
"['Motivation', 'DeStorm Power', 'spotify:track:6PndwWmBOFSyZwhP2ACDTS']"
"['Still', 'Salt Of The Sound', 'spotify:track:2Jbl09LJoFIveqboaH3ZZS']"
"['Necrotize Tissue to Evovle Mutation', 'Septic Congestion', 'spotify:track:7qE6uezNUABHj1oPuMOD76']"
"['Copper Islands (2011)', 'Unwed Sailor', 'spotify:track:5aOyXYZpQrSanYvsVldgHc']"
