A Vexing Mural,Fleshmeadow,8,0.484,0.922,5,-5.565,1,0.0904,3.86E-05,0.856,0.494,0.0723,121.525,316045,4,50.95851,14,0
A Water Prayer,Deep Blue Something,57,0.38,0.896,0,-6.628,1,0.0417,0.0199,0.000523,0.0908,0.704,129.697,200620,4,67.06623,9,0
A World Not Yet Darkened,Coastlands,16,0.628,0.433,5,-10.476,1,0.0271,0.541,0.862,0.0785,0.156,108.016,344378,4,28.94346,10,0
A Year In The Garden Shed,Tigers on Trains,12,0.474,0.438,5,-11.522,1,0.0268,0.364,0,0.126,0.392,98.958,230498,4,34.43465,10,0
Abandon Window,Jon Hopkins,62,0.169,0.187,6,-25.116,1,0.0484,0.82,0.804,0.0974,0.136,127.614,297493,4,30.08785,14,0
About A Girl,Nirvana,79,0.614,0.768,3,-9.169,0,0.0756,0.152,2.02E-05,0.873,0.613,121.009,217199,4,51.94923,12,0
Above The Clouds Of Pompeii,Bear's Den,60,0.581,0.372,4,-12.403,1,0.0333,0.838,0.000327,0.0836,0.146,100.771,279453,4,18.34205,11,0
Abysm Nucleus,Cytotoxin,26,0.269,0.974,4,-4.041,0,0.171,0.000113,0.797,0.367,0.0489,124.981,336200,4,40.73759,17,0
Abysmal,The Black Dahlia Murder,52,0.274,0.995,7,-3.109,1,0.213,1.77E-05,0.621,0.177,0.0398,170.08,221845,4,45.43012,9,0
Adrift,Slowrun,1,0.358,0.448,0,-9.195,1,0.0315,0.00374,0.826,0.17,0.0766,139.965,452400,4,27.67069,16,0
Africa,Toto,74,0.671,0.373,9,-18.064,1,0.0323,0.257,7.95E-05,0.0481,0.732,92.717,295893,4,32.48927,12,0
after hours,twuan,29,0.846,0.2,9,-13.281,0,0.0898,0.609,0.362,0.105,0.573,127.006,154965,4,77.99107,5,0
Again We Rise,Lamb of God,64,0.431,0.994,2,-3.743,1,0.153,9.12E-05,3.30E-05,0.115,0.0617,110.268,270440,4,28.12614,6,0
Against The Wall - Acoustic Version,Seether,70,0.58,0.488,1,-10.585,1,0.0262,0.255,2.63E-05,0.108,0.13,131.998,206825,4,30.57592,10,0
Alan Turing's Legacy,Alexandre Desplat,67,0.242,0.371,5,-11.427,0,0.0333,0.803,0.969,0.0938,0.102,102.194,116520,4,28.05959,7,0
Albatros,Plusma,57,0.615,0.48,5,-10.948,0,0.126,0.342,0.564,0.702,0.668,118.438,165625,3,27.28965,9,0
